-0.121528 95.90 0.4
-0.114583 96.09 0.4
-0.107639 95.99 0.4
-0.100694 95.99 0.4
-0.093750 95.80 0.4
-0.086806 95.51 0.4
-0.079861 96.09 0.4
-0.072917 95.90 0.4
-0.065972 96.09 0.4
-0.059028 95.61 0.4
-0.052083 96.09 0.4
-0.045139 95.90 0.4
-0.038194 95.99 0.4
-0.031250 95.70 0.4
-0.024306 95.51 0.4
-0.017361 95.99 0.4
-0.010417 96.09 0.4
-0.003472 95.61 0.4
0.003472  95.80 0.4
0.010417  95.51 0.4
0.017361  95.61 0.4
0.024306  95.51 0.4
0.031250  95.90 0.4
0.038194  95.61 0.4
0.045139  95.51 0.4
0.052083  96.09 0.4
0.059028  95.70 0.4
0.065972  95.51 0.4
0.072917  95.80 0.4
0.079861  95.99 0.4
0.086806  95.51 0.4
0.093750  95.70 0.4
0.100694  95.80 0.4
0.107639  95.80 0.4
0.114583  95.90 0.4
0.121528  95.90 0.4
